MSIT,CuratedDocuments,0,0,900,180,0.556388888888889
MSIT,CuratedDocuments,512,0,910,180,0.556388888888889
MSIT,CuratedDocuments,16,0,920,180,0.556388888888889
Commercial,CuratedEmails,512,4,1350,180,0.551111111111111
Commercial,CuratedEmails,16,4,1400,180,0.551111111111111
Commercial,CuratedCalendar,0,6,1700,30,0.280555555555556
MSIT,CuratedPeople,0,5,840,0,0.201944444444444
Commercial,CuratedEmailReplyPair,0,3,630,30,0.199444444444444
Commercial,CuratedEmails,512,6,50,92,2.62
Commercial,CuratedEmails,512,6,100,92,2.62
Commercial,CuratedEmails,512,6,110,92,2.62
Commercial,CuratedEmails,512,6,120,92,2.62
Commercial,CuratedEmails,512,6,130,92,2.62
Commercial,CuratedEmails,480,6,140,92,2.62
Commercial,CuratedEmails,480,6,150,92,2.62
Commercial,CuratedEmails,432,6,200,92,2.62
Commercial,CuratedEmails,384,6,210,92,2.62
Commercial,CuratedEmails,272,6,220,92,2.62
Commercial,CuratedEmails,144,6,230,92,2.62
Commercial,CuratedEmails,16,6,240,92,2.62
Commercial,CuratedUser,0,4,1340,0,0.258333333333333
Commercial,CuratedUser,0,4,1350,0,0.258333333333333
MSIT,CuratedDocuments,512,0,350,180,0.933888888888889
MSIT,CuratedDocuments,512,0,400,180,0.933888888888889
MSIT,CuratedDocuments,0,0,410,180,0.933888888888889
MSIT,CuratedCalendar,0,3,1910,180,0.270833333333333
MSIT,CuratedCalendar,0,1,530,7,0.287222222222222
MSIT,CuratedCalendar,0,1,540,7,0.287222222222222
MSIT,SIGSOIVIC,0,3,450,180,8.13
MSIT,SIGSOIVIC,725,3,500,180,8.13
MSIT,SIGSOIVIC,725,3,510,180,8.13
MSIT,SIGSOIVIC,600,3,520,180,8.13
MSIT,SIGSOIVIC,450,3,530,180,8.13
MSIT,SIGSOIVIC,150,3,540,180,8.13
MSIT,SIGSOIVIC,50,3,550,180,8.13
MSIT,SIGSOXO,0,4,450,24,0.673888888888889
Commercial,SIGSOXO,16,4,50,16,1.12944444444444
Commercial,SIGSOXO,0,4,100,16,1.12944444444444
MSIT,CuratedActions,224,3,1500,14,0.285833333333333
Commercial,SIGSOIVIC,50,3,1920,7,2.86611111111111
Commercial,SIGSOIVIC,25,3,1930,7,2.86611111111111
Commercial,SIGSOIVIC,25,3,1940,7,2.86611111111111
Commercial,SIGSOIVIC,25,3,1950,7,2.86611111111111
Commercial,CuratedTeamsConversation,512,4,540,90,0.713888888888889
Commercial,CuratedTeamsConversation,368,4,550,90,0.713888888888889
Commercial,CuratedTeamsConversation,128,4,600,90,0.713888888888889
Commercial,CuratedTeamsConversation,0,4,610,90,0.713888888888889
Consumer,CuratedEmails,0,1,1010,31,0.951944444444444
Consumer,CuratedEmails,512,1,1020,31,0.951944444444444
Consumer,CuratedEmails,512,1,1030,31,0.951944444444444
Consumer,CuratedEmails,496,1,1040,31,0.951944444444444
Consumer,CuratedEmails,304,1,1050,31,0.951944444444444
Commercial,MailView,496,2,2050,33,1.25972222222222
Commercial,MailView,480,2,2100,33,1.25972222222222
Commercial,MailView,320,2,2110,33,1.25972222222222
Commercial,MailView,208,2,2120,33,1.25972222222222
Commercial,MailView,80,2,2130,33,1.25972222222222
Commercial,MailView,16,2,2140,33,1.25972222222222
Commercial,MailView,0,2,2220,33,1.25972222222222
Consumer,CuratedEmailReplyPair,0,6,2040,30,0.204166666666667
MSIT,CuratedCalendar,0,0,410,152,0.250277777777778
Consumer,SIGSSuggestedTask,0,1,1120,24,0.421666666666667
Consumer,SIGSSuggestedTask,0,1,1130,24,0.421666666666667
MSIT,CuratedPeople,0,6,140,0,0.206666666666667
MSIT,CuratedActions,512,4,610,180,0.843888888888889
MSIT,CuratedActions,416,4,620,180,0.843888888888889
MSIT,CuratedActions,0,4,630,180,0.843888888888889
Consumer,CuratedEmailReplyPair,0,0,350,180,0.393611111111111
MSIT,SIGSOIVIC,0,0,2110,14,0.8075
MSIT,SIGSOIVIC,0,0,2120,14,0.8075
MSIT,CuratedCalendar,0,1,1420,90,0.286111111111111
MSIT,CuratedCalendar,0,1,1430,90,0.286111111111111
Consumer,SIGSOXO,16,3,2330,16,0.810277777777778
Consumer,SIGSOXO,0,3,2340,16,0.810277777777778
MSIT,SIGSOIVIC,750,2,940,180,7.51138888888889
MSIT,SIGSOIVIC,750,2,950,180,7.51138888888889
MSIT,SIGSOIVIC,400,2,1000,180,7.51138888888889
Commercial,MailView,0,4,2250,24,0.325833333333333
Commercial,MailView,0,4,2300,24,0.325833333333333
Commercial,CuratedEmails,512,5,340,92,2.13305555555556
Commercial,CuratedEmails,512,5,350,92,2.13305555555556
Commercial,CuratedEmails,512,5,400,92,2.13305555555556
Commercial,CuratedEmails,512,5,410,92,2.13305555555556
Commercial,CuratedEmails,512,5,420,92,2.13305555555556
Commercial,CuratedEmails,448,5,430,92,2.13305555555556
Commercial,CuratedEmails,368,5,440,92,2.13305555555556
Commercial,CuratedEmails,112,5,450,92,2.13305555555556
MSIT,CuratedEmails,32,3,2220,3,0.442222222222222
MSIT,CuratedEmails,0,3,2230,3,0.442222222222222
Commercial,CuratedEmailReplyPair,512,2,550,30,0.588888888888889
Commercial,CuratedEmailReplyPair,0,2,600,30,0.588888888888889
Commercial,CuratedEmailReplyPair,0,2,610,30,0.588888888888889
Commercial,CuratedEmailReplyPair,0,2,620,30,0.588888888888889
Commercial,MailView,176,5,220,27,0.369722222222222
Commercial,MailView,0,5,230,27,0.369722222222222
Consumer,SIGSOXO,0,3,230,16,0.9525
Consumer,SIGSOXO,0,3,240,16,0.9525
MSIT,CuratedEmails,512,3,1340,180,1.37666666666667
MSIT,CuratedEmails,512,3,1350,180,1.37666666666667
MSIT,CuratedEmails,512,3,1400,180,1.37666666666667
MSIT,CuratedEmails,480,3,1410,180,1.37666666666667
MSIT,CuratedEmails,96,3,1420,180,1.37666666666667
MSIT,SIGSOIVIC,0,5,1340,30,1.37888888888889
MSIT,SIGSOIVIC,0,5,1350,30,1.37888888888889
Commercial,MailView,48,0,1800,30,0.569722222222222
Commercial,MailView,496,0,1810,30,0.569722222222222
Commercial,MailView,336,0,1820,30,0.569722222222222
Commercial,MailView,0,0,1830,30,0.569722222222222
Consumer,CuratedEmailReplyPair,16,2,230,7,0.276666666666667
Consumer,CuratedEmailReplyPair,0,2,240,7,0.276666666666667
MSIT,CuratedEmails,0,4,340,180,2.18722222222222
MSIT,CuratedEmails,512,4,350,180,2.18722222222222
MSIT,CuratedEmails,512,4,400,180,2.18722222222222
MSIT,CuratedEmails,512,4,410,180,2.18722222222222
MSIT,CuratedEmails,512,4,420,180,2.18722222222222
MSIT,CuratedEmails,496,4,430,180,2.18722222222222
MSIT,CuratedEmails,496,4,440,180,2.18722222222222
MSIT,CuratedEmails,480,4,450,180,2.18722222222222
MSIT,CuratedEmails,384,4,500,180,2.18722222222222
MSIT,CuratedEmails,304,4,510,180,2.18722222222222
MSIT,CuratedEmails,128,4,520,180,2.18722222222222
MSIT,CuratedEmails,64,4,530,180,2.18722222222222
MSIT,CuratedEmails,32,4,540,180,2.18722222222222
MSIT,CuratedEmails,0,2,1320,2,0.378888888888889
MSIT,CuratedEmails,48,2,1330,2,0.378888888888889
MSIT,CuratedEmails,0,2,1340,2,0.378888888888889
MSIT,CuratedEmails,512,5,840,90,0.695277777777778
MSIT,CuratedEmails,512,5,850,90,0.695277777777778
MSIT,CuratedEmails,272,5,900,90,0.695277777777778
MSIT,CuratedEmails,0,5,910,90,0.695277777777778
MSIT,CuratedEmails,512,2,520,180,1.46027777777778
MSIT,CuratedEmails,512,2,530,180,1.46027777777778
MSIT,CuratedEmails,512,2,540,180,1.46027777777778
MSIT,CuratedEmails,512,2,550,180,1.46027777777778
MSIT,CuratedEmails,400,2,600,180,1.46027777777778
MSIT,CuratedEmails,256,2,610,180,1.46027777777778
MSIT,CuratedEmails,32,2,620,180,1.46027777777778
Consumer,CuratedEmailReplyPair,448,2,510,180,0.588333333333333
Consumer,CuratedEmailReplyPair,512,2,520,180,0.588333333333333
Consumer,CuratedEmailReplyPair,0,2,530,180,0.588333333333333
Commercial,CuratedEmails,384,5,2150,7,0.375
Commercial,CuratedEmails,0,5,2200,7,0.375
MSIT,CIVPrime,0,3,1400,7,0.32
MSIT,CIVPrime,0,1,2110,30,0.404444444444444
MSIT,CuratedEmails,480,3,1930,30,0.461111111111111
MSIT,CuratedEmails,48,3,1940,30,0.461111111111111
Consumer,CuratedEmailReplyPair,0,3,740,300,0.353611111111111
Commercial,CuratedEmailReplyPair,0,2,620,24,0.456388888888889
Commercial,CuratedEmailReplyPair,144,2,630,24,0.456388888888889
Commercial,CuratedEmailReplyPair,0,2,710,24,0.456388888888889
Consumer,SIGSOXO,16,1,2130,16,0.972777777777778
Consumer,SIGSOXO,16,1,2140,16,0.972777777777778
Consumer,SIGSOXO,0,1,2150,16,0.972777777777778
Consumer,CuratedEmails,0,0,1610,180,1.52361111111111
Consumer,CuratedEmails,512,0,1620,180,1.52361111111111
Consumer,CuratedEmails,512,0,1630,180,1.52361111111111
Consumer,CuratedEmails,512,0,1640,180,1.52361111111111
Consumer,CuratedEmails,512,0,1650,180,1.52361111111111
Consumer,CuratedEmails,480,0,1700,180,1.52361111111111
Consumer,CuratedEmails,0,0,1710,180,1.52361111111111
Commercial,CuratedUser,0,0,1400,0,0.228333333333333
MSIT,CuratedDocuments,368,0,2050,92,0.66
MSIT,CuratedDocuments,176,0,2100,92,0.66
MSIT,CuratedDocuments,48,0,2110,92,0.66
MSIT,CuratedDocuments,0,0,2120,92,0.66
MSIT,CuratedPeople,0,3,40,0,0.211944444444444
MSIT,CuratedPeople,0,3,50,0,0.211944444444444
Consumer,CuratedEmails,0,1,2030,180,1.27083333333333
Consumer,CuratedEmails,512,1,2040,180,1.27083333333333
Consumer,CuratedEmails,512,1,2050,180,1.27083333333333
Consumer,CuratedEmails,512,1,2100,180,1.27083333333333
Consumer,CuratedEmails,512,1,2110,180,1.27083333333333
Consumer,CuratedEmails,480,1,2120,180,1.27083333333333
Consumer,CuratedEmails,320,1,2130,180,1.27083333333333
Consumer,CuratedEmails,0,1,2140,180,1.27083333333333
MSIT,CuratedCalendar,224,1,1820,180,0.383333333333333
MSIT,CuratedCalendar,0,1,1830,180,0.383333333333333
MSIT,CuratedCalendar,0,2,2140,31,0.226388888888889
MSIT,CuratedCalendar,0,2,2150,31,0.226388888888889
MSIT,CuratedDocuments,512,2,1140,180,0.521944444444444
MSIT,CuratedDocuments,384,2,1150,180,0.521944444444444
MSIT,CuratedDocuments,0,2,1200,180,0.521944444444444
Consumer,CuratedEmailReplyPair,0,4,300,180,0.292777777777778
Consumer,CuratedEmailReplyPair,0,4,310,180,0.292777777777778
MSIT,SIGSSuggestedTask,0,2,1300,7,4.97666666666667
Commercial,SIGSSmartReply,0,0,1800,7,0.403611111111111
Commercial,SIGSSmartReply,0,0,1810,7,0.403611111111111
Consumer,SIGSOXO,16,4,2040,16,0.826944444444444
Consumer,SIGSOXO,0,4,2050,16,0.826944444444444
Commercial,SIGSOXO,16,1,2020,16,1.17194444444444
Commercial,SIGSOXO,0,1,2030,16,1.17194444444444
Consumer,CuratedEmails,0,3,1720,300,2.76416666666667
Consumer,CuratedEmails,512,3,1730,300,2.76416666666667
Consumer,CuratedEmails,512,3,1740,300,2.76416666666667
Consumer,CuratedEmails,512,3,1750,300,2.76416666666667
Consumer,CuratedEmails,496,3,1800,300,2.76416666666667
Consumer,CuratedEmails,512,3,1810,300,2.76416666666667
Consumer,CuratedEmails,512,3,1820,300,2.76416666666667
Consumer,CuratedEmails,512,3,1830,300,2.76416666666667
Consumer,CuratedEmails,496,3,1840,300,2.76416666666667
Consumer,CuratedEmails,512,3,1850,300,2.76416666666667
Consumer,CuratedEmails,512,3,1900,300,2.76416666666667
Consumer,CuratedEmails,512,3,1910,300,2.76416666666667
Consumer,CuratedEmails,512,3,1920,300,2.76416666666667
Consumer,CuratedEmails,512,3,1930,300,2.76416666666667
Consumer,CuratedEmails,288,3,1940,300,2.76416666666667
Consumer,CuratedEmails,64,3,1950,300,2.76416666666667
Consumer,CuratedEmails,0,3,2000,300,2.76416666666667
MSIT,CuratedEmails,512,0,1850,91,1.98305555555556
MSIT,CuratedEmails,512,0,1900,91,1.98305555555556
MSIT,CuratedEmails,512,0,1910,91,1.98305555555556
MSIT,CuratedEmails,512,0,1920,91,1.98305555555556
MSIT,CuratedEmails,512,0,1930,91,1.98305555555556
MSIT,CuratedEmails,512,0,1940,91,1.98305555555556
MSIT,CuratedEmails,512,0,1950,91,1.98305555555556
MSIT,CuratedEmails,480,0,2000,91,1.98305555555556
MSIT,CuratedEmails,448,0,2010,91,1.98305555555556
MSIT,CuratedEmails,288,0,2020,91,1.98305555555556
MSIT,CuratedEmails,0,0,2030,91,1.98305555555556
Commercial,CuratedDocuments,0,2,1630,92,0.6
Commercial,CuratedDocuments,512,2,1640,92,0.6
Commercial,CuratedDocuments,48,2,1650,92,0.6
Commercial,CuratedDocuments,0,2,1700,92,0.6
Commercial,MailView,48,4,2230,3,0.455
Commercial,MailView,16,4,2240,3,0.455
MSIT,CuratedEmails,0,3,1900,91,1.445
MSIT,CuratedEmails,512,3,1910,91,1.445
MSIT,CuratedEmails,496,3,1920,91,1.445
MSIT,CuratedEmails,464,3,1930,91,1.445
MSIT,CuratedEmails,464,3,1940,91,1.445
MSIT,CuratedEmails,400,3,1950,91,1.445
MSIT,CuratedEmails,176,3,2000,91,1.445
MSIT,CuratedEmails,16,3,2010,91,1.445
MSIT,CuratedPeople,0,2,1010,0,0.216388888888889
MSIT,CuratedPeople,0,2,1020,0,0.216388888888889
MSIT,CuratedActions,288,4,940,30,0.347222222222222
MSIT,CuratedActions,0,4,950,30,0.347222222222222
Commercial,CuratedCalendar,176,5,1300,92,0.404444444444444
Commercial,CuratedCalendar,64,5,1310,92,0.404444444444444
Commercial,SIGSSmartReply,0,1,1940,7,0.372222222222222
Commercial,SIGSSmartReply,0,1,1950,7,0.372222222222222
Commercial,MailView,0,2,1820,33,0.89
Commercial,MailView,304,2,1830,33,0.89
Commercial,MailView,240,2,1840,33,0.89
Commercial,MailView,176,2,1850,33,0.89
Commercial,MailView,144,2,1900,33,0.89
Commercial,MailView,0,2,1910,33,0.89
Commercial,CuratedEmails,512,4,210,92,1.71944444444444
Commercial,CuratedEmails,512,4,220,92,1.71944444444444
Commercial,CuratedEmails,512,4,230,92,1.71944444444444
Commercial,CuratedEmails,448,4,240,92,1.71944444444444
Commercial,CuratedEmails,304,4,250,92,1.71944444444444
Commercial,CuratedEmails,80,4,300,92,1.71944444444444
Commercial,CuratedEmails,0,4,310,92,1.71944444444444
Commercial,CuratedEmails,0,4,330,92,1.71944444444444
Commercial,CuratedEmails,0,4,350,92,1.71944444444444
MSIT,CuratedEmails,512,5,310,180,2.02666666666667
MSIT,CuratedEmails,512,5,320,180,2.02666666666667
MSIT,CuratedEmails,512,5,330,180,2.02666666666667
MSIT,CuratedEmails,512,5,340,180,2.02666666666667
MSIT,CuratedEmails,512,5,350,180,2.02666666666667
MSIT,CuratedEmails,448,5,400,180,2.02666666666667
MSIT,CuratedEmails,464,5,410,180,2.02666666666667
MSIT,CuratedEmails,272,5,420,180,2.02666666666667
MSIT,CuratedEmails,176,5,430,180,2.02666666666667
MSIT,CuratedEmails,128,5,440,180,2.02666666666667
MSIT,CuratedEmails,0,5,450,180,2.02666666666667
MSIT,CuratedEmails,480,4,1530,30,0.538333333333333
MSIT,CuratedEmails,320,4,1540,30,0.538333333333333
MSIT,CuratedEmails,0,4,1550,30,0.538333333333333
MSIT,CuratedDocuments,240,4,2040,92,0.317777777777778
MSIT,CuratedDocuments,0,4,2050,92,0.317777777777778
MSIT,CuratedEmails,0,6,2220,180,0.700277777777778
MSIT,CuratedEmails,512,6,2230,180,0.700277777777778
MSIT,CuratedEmails,496,6,2240,180,0.700277777777778
MSIT,CuratedEmails,240,6,2250,180,0.700277777777778
MSIT,CuratedEmails,0,4,350,180,1.26361111111111
MSIT,CuratedEmails,512,4,400,180,1.26361111111111
MSIT,CuratedEmails,512,4,410,180,1.26361111111111
MSIT,CuratedEmails,496,4,420,180,1.26361111111111
MSIT,CuratedEmails,480,4,430,180,1.26361111111111
MSIT,CuratedEmails,304,4,440,180,1.26361111111111
MSIT,CuratedEmails,0,4,450,180,1.26361111111111
Commercial,CuratedUser,0,3,1410,0,0.252222222222222
Consumer,CuratedEmails,0,1,1120,90,0.83
Consumer,CuratedEmails,512,1,1130,90,0.83
Consumer,CuratedEmails,496,1,1140,90,0.83
Consumer,CuratedEmails,320,1,1150,90,0.83
Consumer,CuratedEmails,16,1,1200,90,0.83
Commercial,CuratedEmails,512,5,1540,31,0.943333333333333
Commercial,CuratedEmails,512,5,1550,31,0.943333333333333
Commercial,CuratedEmails,512,5,1600,31,0.943333333333333
Commercial,CuratedEmails,480,5,1610,31,0.943333333333333
Commercial,CuratedEmails,96,5,1620,31,0.943333333333333
MSIT,CuratedEmails,512,5,650,180,1.13305555555556
MSIT,CuratedEmails,512,5,700,180,1.13305555555556
MSIT,CuratedEmails,512,5,710,180,1.13305555555556
MSIT,CuratedEmails,512,5,720,180,1.13305555555556
MSIT,CuratedEmails,320,5,730,180,1.13305555555556
MSIT,CuratedEmails,0,5,740,180,1.13305555555556
Commercial,CuratedActions,0,4,2310,3,0.256388888888889
Commercial,CuratedActions,0,4,2320,3,0.256388888888889
Commercial,CuratedEmails,0,4,2020,3,0.279166666666667
Commercial,CuratedEmails,0,4,2030,3,0.279166666666667
MSIT,CIVPrime,0,2,730,14,0.265833333333333
MSIT,CIVPrime,0,2,740,14,0.265833333333333
MSIT,CuratedUser,16,3,1310,0,0.238888888888889
Consumer,CuratedEmails,512,6,1850,31,1.1075
Consumer,CuratedEmails,480,6,1900,31,1.1075
Consumer,CuratedEmails,464,6,1910,31,1.1075
Consumer,CuratedEmails,0,6,1920,31,1.1075
Consumer,CuratedEmails,0,6,1950,31,1.1075
Consumer,CuratedEmails,0,6,2010,31,1.1075
Consumer,CuratedEmails,0,6,2040,31,1.1075
MSIT,SIGSOIVIC,0,0,2100,90,4.32083333333333
MSIT,SIGSOIVIC,750,0,2110,90,4.32083333333333
MSIT,SIGSOIVIC,150,0,2120,90,4.32083333333333
MSIT,CuratedCalendar,0,6,140,90,0.2625
MSIT,CuratedCalendar,0,6,150,90,0.2625
MSIT,CuratedCalendar,0,3,2100,31,0.272777777777778
Commercial,SIGSSmartReply,0,3,1940,24,1.43611111111111
Commercial,SIGSSmartReply,16,3,1950,24,1.43611111111111
Commercial,SIGSSmartReply,16,3,2000,24,1.43611111111111
Commercial,SIGSSmartReply,16,3,2010,24,1.43611111111111
Commercial,SIGSSmartReply,16,3,2020,24,1.43611111111111
Commercial,CuratedEmails,496,4,2300,180,0.900555555555556
Commercial,CuratedEmails,496,4,2310,180,0.900555555555556
Commercial,CuratedEmails,416,4,2320,180,0.900555555555556
Commercial,CuratedEmails,256,4,2330,180,0.900555555555556
